,All Items,Food,Food Excl Food Serving Services,Bread & Cereals,Rice,Flour,Bread,Noodles & Pasta,Biscuits & Cookies,Cakes & Pastries,Other Cereals,Meat,"Pork, Chilled","Beef, Chilled","Mutton, Chilled","Poultry, Chilled","Meat, Frozen",Meat Preparations,Fish & Seafood,"Fish, Chilled","Fish, Frozen",Other Seafood,Seafood Preparations,"Milk, Cheese & Eggs",Formula Milk Powder,Other Milk & Dairy Products,Eggs,Oils & Fats,Butter & Other Fats,Cooking Oils,Fruits,"Tropical Fruits, Fresh","Citrus, Berries & Other Fruits, Fresh",Preserved Fruits & Nuts,Vegetables,"Leafy Vegetables, Fresh","Fruit Vegetables, Fresh","Root Vegetables, Fresh",Other Vegetables & Preparations,"Sugar, Preserves & Confectionery",Sugar,Confectionery & Ice-cream,Sugar Preserves & Spread,Non-alcoholic Beverages,Coffee & Tea,Soft Drinks,Other Beverages,Other Food,Food Serving Services,Restaurant Food,Fast Food,Hawker Food,Hawker Centres,Food Courts & Coffee Shops,Catered Food,Clothing & Footwear,Clothing,Men's Clothing,Women's Clothing,Children's Clothing,Other Articles & Related Services,Footwear,Men's Footwear,Women's Footwear,Children's Footwear,Housing & Utilities,Accommodation3,Utilities & Other Fuels,Water Supply,Refuse Collection,Electricity,Gas,Household Durables & Services,Household Durables,Furniture,Furnishings,Other Household Textiles,Household Appliances,Utensils & Others,Household Services & Supplies,Non-durable Household Goods,Domestic & Household Services,Health Care,Medicines & Health Products,Medicines & Vitamins,Medical Products,Outpatient Services,Fees At Polyclinics,Fees At General Practitioners (GP) Clinics,Fees At Specialist Outpatient Clinics,Dental Services,Paramedical Services,Hospital Services,Health Insurance,Transport,Private Transport,Cars,Motorcycles,Petrol,Other Private Transport,Public Transport,Bus & Train Fares,Point-to-point Transport Services2,Other Public Transport,Other Transport Services,Air Fares,Other Transport,Communication,Postage & Courier Services,Telecommunication Equipment,Telecommunication Services,Recreation & Culture,Recreational & Cultural Goods,Information Processing Equipment,Audio-visual Equipment & Others,Games & Toys,Pets & Related Products,Other Recreational & Cultural Goods,Recreational & Cultural Services,Sport Services & Other Fees,Cinema Tickets,Charges To Places Of Interest,Other Recreational & Cultural Services,"Newspapers, Books & Stationery",Newspapers & Magazines,Books & Stationery,Holiday Expenses,Package Tours,Hotels & Other Expenses,Education,Tuition & Other Fees,Primary Education,Secondary Education,"Other General, Vocational & Higher Education",Enrichment & Supplementary Courses,Textbooks & Study Guides,Miscellaneous Goods & Services,Personal Care,Hairdressing,Personal Grooming Services,Other Personal Care,Alcoholic Drinks & Tobacco,Spirits & Wine,Beer,Cigarettes,Personal Effects,Jewellery & Watches,Other Personal Effects,Social Services,Other Miscellaneous Services,All Items Less Imputed Rentals On Owner-occupied Accommodation3,All Items Less Accommodation3
1961 H1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 H1,0.5,0.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.4,na,na,na,na,na,na,na,na,na,0.5,na,na,na,na,na,na,-0.2,na,na,na,na,na,na,na,na,na,0.1,na,na,na,na,na,na,na,na,na,na,na,-0.1,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.4,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1962 H2,0.4,0.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.5,na,na,na,na,na,na,na,na,na,0.7,na,na,na,na,na,na,0.4,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,-0.1,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.4,na,na,na,na,na,na,-0.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 H1,1.8,3.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-0.8,na,na,na,na,na,na,na,na,na,0.2,na,na,na,na,na,na,-2.1,na,na,na,na,na,na,na,na,na,-0.1,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.2,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1963 H2,2.4,4.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.2,na,na,na,na,na,na,na,na,na,0.2,na,na,na,na,na,na,-2,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,0.1,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,-0.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.2,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1964 H1,1.8,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.7,na,na,na,na,na,na,na,na,na,1,na,na,na,na,na,na,0.1,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,0.4,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.1,na,na,na,na,na,na,-1.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1964 H2,1.5,2.1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.5,na,na,na,na,na,na,na,na,na,2.7,na,na,na,na,na,na,0.4,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,0.3,na,na,na,na,na,na,na,na,na,na,na,na,16.7,na,na,na,0.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.1,na,na,na,na,na,na,-1.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1965 H1,0.3,-0.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.8,na,na,na,na,na,na,na,na,na,3.3,na,na,na,na,na,na,0.8,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,50,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-2.3,na,na,na,na,na,na,1.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1965 H2,0.2,-0.4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1.7,na,na,na,na,na,na,na,na,na,0.5,na,na,na,na,na,na,4,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,28.6,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,-2.3,na,na,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
1966 H1,2,2.6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,2.5,na,na,na,na,na,na,na,na,na,-1,na,na,na,na,na,na,7.8,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,0,na,na,na,0,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,3.2,na,na,na,na,na,na,1.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
